<before>	287 223 349 317 178 170 401 185 283 255 323 242 381 302 354 94 204 397 93 413 3 281 37 95 58 395 47 361 103 393 42 358 342 327 237 415 216 31 427 319 1 365 152 200 89 45 188 68 142 312 143 225 44 62 367 338 201 261 260 414 266 438 114 340 84 228 134 171 215 41 391 325 210 396 169 245 18 10 273 87 4 50 398 339 337 440 428 241 236 57 406 309 72 8 144 64 353 138 181 46 195 336 126 290 67 356 146 157 135 231 362 407 403 70 264 366 98 19 123 270 121 374 297 233 392 219 196 435 69 385 90 5 268 179 372 111 163 421 137 295 150 132 15 211 154 43 49 249 217 20 310 116 56 140 422 232 59 269 109 285 375 364 16 148 298 74 274 296 26 187 333 318 250 102 158 81 227 262 112 286 85 105 115 6 256 38 164 78 436 190 437 341 35 314 76 313 328 177 373 25 191 400 359 382 331 213 351 33 234 88 202 77 13 322 244 128 292 40 36 147 136 120 412 106 370 63 51 402 117 303 11 214 418 24 243 159 124 21 277 79 330 332 66 410 97 263 176 307 226 149 352 350 254 86 441 28 386 304 377 300 209 432 334 30 378 80 279 139 420 326 246 308 92 424 434 145 113 60 384 39 104 276 238 218 320 311 417 207 162 430 284 160 289 9 183 360 275 52 383 99 442 167 55 129 443 278 425 14 203 394 357 371 73 379 130 229 222 32 423 306 141 343 235 257 61 23 252 409 247 127 248 315 388 180 419 110 416 34 186 387 100 346 251 82 205 12 155 75 165 54 221 316 369 305 7 125 220 189 408 347 194 53 27 212 122 291 184 293 344 329 405 288 101 173 411 83 431 280 166 368 380 399 17 253 390 91 175 258 108 96 389 259 208 156 199 404 282 197 151 131 376 426 161 182 439 22 206 118 294 29 172 119 198 48 239 224 230 433 299 240 265 71 321 301 174 348 193 133 271 65 324 2 192 363 272 335 267 345 168 153 107 355 429 
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4789
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4788
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4787
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4786
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4785
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4784
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4783
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4782
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4781
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4780
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4779
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4778
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4777
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4776
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4775
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4774
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4773
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4772
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4771
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4770
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4769
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4768
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4767
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4766
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4765
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4764
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4763
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4762
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4761
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4760
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4759
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4758
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4757
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4756
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4755
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4754
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4753
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4752
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4751
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4750
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4749
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4748
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4747
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4746
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4745
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4744
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4743
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4742
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4741
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4740
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4739
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4738
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4737
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4736
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4735
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4734
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4733
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4732
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4731
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4730
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4729
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4728
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4727
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4726
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4725
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4724
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4723
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4722
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4721
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4720
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4719
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4718
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4717
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4716
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4715
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4714
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4713
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4712
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4711
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4710
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4709
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4708
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4707
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4706
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4705
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4704
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4703
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4702
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4701
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4700
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4699
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4698
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4697
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4696
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4695
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4694
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4693
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4692
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4691
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4690
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4689
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4688
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4687
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4686
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4685
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4684
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4683
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4682
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4681
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4680
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4679
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4678
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4677
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4676
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4675
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4674
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4673
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4672
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4671
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4670
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4669
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4668
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4667
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4666
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4665
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4664
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4663
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4662
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4661
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4660
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4659
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4658
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4657
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4656
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4655
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4654
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4653
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4652
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4651
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4650
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4649
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4648
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4647
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4646
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4645
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4644
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4643
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4642
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4641
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4640
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4639
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4638
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4637
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4636
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4635
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4634
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4633
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4632
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4631
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4630
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4629
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4628
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4627
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4626
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4625
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4624
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4623
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4622
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4621
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4620
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4619
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4618
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4617
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4616
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4615
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4614
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4613
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4612
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4611
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4610
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4609
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4608
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4607
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4606
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4605
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4604
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4603
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4602
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4601
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4600
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4599
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4598
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4597
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4596
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4595
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4594
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4593
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4592
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4591
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4590
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4589
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4588
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4587
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4586
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4585
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4584
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4583
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4582
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4581
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4580
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4579
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4578
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4577
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4576
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4575
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4574
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4573
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4572
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4571
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4570
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4569
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4568
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4567
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4566
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4565
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4564
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4563
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4562
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4561
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4560
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4559
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4558
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4557
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4556
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4555
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4554
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4553
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4552
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4551
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4550
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4549
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4548
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4547
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4546
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4545
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4544
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4543
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4542
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4541
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4540
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4539
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4538
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4537
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4536
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4535
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4534
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4533
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4532
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4531
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4530
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4529
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4528
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4527
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4526
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4525
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4524
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4523
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4522
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4521
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4520
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4519
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4518
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4517
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4516
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4515
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4514
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4513
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4512
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4511
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4510
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4509
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4508
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4507
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4506
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4505
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4504
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4503
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4502
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4501
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4500
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4499
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4498
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4497
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4496
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4495
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4494
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4493
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4492
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4491
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4490
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4489
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4488
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4487
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4486
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4485
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4484
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4483
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4482
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4481
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4480
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4479
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4478
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4477
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4476
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4475
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4474
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4473
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4472
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4471
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4470
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4469
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4468
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4467
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4466
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4465
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4464
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4463
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4462
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4461
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4460
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4459
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4458
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4457
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4456
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4455
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4454
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4453
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4452
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4451
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4450
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4449
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4448
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4447
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4446
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4445
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4444
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4443
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4442
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4441
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4440
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4439
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4438
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4437
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4436
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4435
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4434
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4433
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4432
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4431
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4430
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4429
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4428
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4427
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4426
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4425
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4424
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4423
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4422
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4421
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4420
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4419
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4418
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4417
debug:After 2opt Total Distance:	5687
debug:Remaining 2opt times:	4416
debug:After 2opt Total Distance:	5687
